name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
Mera Fauji Calling,"12 Mar, 2021",['Hindi'],2 hrs 2 mins,Drama,Aaryaan Saxena,"['Sharman Joshi', 'Bidita Bag', 'Mugdha Godse']",2.5,3,,"https://static.toiimg.com/thumb/msid-67944897,width-219,height-317,imgsize-29086/67944897.jpg"
Roohi,"11 Mar, 2021",['Hindi'],2 hrs 25 mins, Drama Horror Comedy,Hardik Mehta,"['Rajkummar Rao', 'Janhvi Kapoor', 'Varun Sharma']",3.5,3.3,"Overall, the film remains true to its genre and packs a good dose of entertainment, which makes it worth a trip to the theatre.","https://static.toiimg.com/thumb/msid-68626862,width-219,height-317,imgsize-51844/68626862.jpg"
Tuesdays & Fridays,"19 Feb, 2021",['Hindi'],1 hr 46 mins, Comedy Romance,Taranveer Singh,"['Anmol Thakeria Dhillon', 'Jhataleka Malhotra', 'Niki Walia']",2.5,2.5,"Overall, it’s a novel idea with a fresh and breezy storyline that has its moments. But with more depth and soul, this idea of bi-weekly romance could have become a love story for all seasons. ","https://static.toiimg.com/thumb/msid-80495615,width-219,height-317,imgsize-27712/80495615.jpg"
Maassab,"29 Jan, 2021",['Hindi'],1 hr 56 mins,Drama,Aditya Om,"['Shiva Suryavanshi', 'Sheetal Singh', 'Chandra Bhushan Singh']",2.5,2.9,"Overall, ‘Maassab’ deals with the issue of the dilapidated condition of rural education in India that needs special attention from the government. Despite a convincing and impactful story in hand, this social commentary turns out to be an average watch.","https://static.toiimg.com/thumb/msid-80497143,width-219,height-317,imgsize-54671/80497143.jpg"
Madam Chief Minister,"22 Jan, 2021",['Hindi'],2 hrs 10 mins,Drama,Subhash Kapoor,"['Richa Chadha', 'Akshay Oberoi', 'Saurabh Shukla']",3,3.2,"Madam Chief Minister gets our vote for being an entertaining political drama, set in the crime-infested corridors of power.","https://static.toiimg.com/thumb/msid-74099483,width-219,height-317,imgsize-30502/74099483.jpg"
Bolo Hau,"15 Jan, 2021",['Hindi'],1 hr 57 mins, Comedy Romance,Tarun Dhanrajgir,"['Jahnavi Dhanrajgir', 'Ankit Rathi', 'Adnan Sajid Khan']",2,2.2,,"https://static.toiimg.com/thumb/msid-80249315,width-219,height-317,imgsize-91701/80249315.jpg"
The Power,"14 Jan, 2021",['Hindi'],2 hrs 34 mins, Action Thriller,Mahesh Manjrekar,"['Vidyut Jammwal', 'Shruti Haasan', 'Jisshu Sengupta']",2.5,2.7,"With a tighter, finer screenplay and more consistent performers, ‘The Power’ could have been a befitting response of this decade to the ‘Sarkar’ franchise but a lacklustre narrative, among other things, brings the power down to level zero.","https://static.toiimg.com/thumb/msid-80249576,width-219,height-317,imgsize-21906/80249576.jpg"
12 'O' Clock,"08 Jan, 2021",['Hindi'],2 hrs 10 mins, Horror Psychological,Ram Gopal Varma,"['Mithun Chakraborty', 'Makarand Deshpande', 'Manav Kaul']",2,2.4,"If you get spooked easily, you may not mind this one. However, as a psychological thriller that's focussed on ‘one’s believes in supernatural activities only when they have faced themselves’, ’12 ‘o' Clock’ fails to hold your attention for too long and ends up being a bit of a drag.","https://static.toiimg.com/thumb/msid-79915404,width-219,height-317,imgsize-26727/79915404.jpg"
Kaagaz,"07 Jan, 2021",['Hindi'],1 hr 56 mins, Drama Biography,Satish Kaushik,"['Pankaj Tripathi', 'Monal Gajjar', 'Amar Upadhyay']",3,3.4,"To sum it up, ‘Kaagaz’ could have been the go-to movie for those seeking a burst of inspiration, but it ends up being a uni-dimensional masterclass on one man’s acting prowess.","https://static.toiimg.com/thumb/msid-80128918,width-219,height-317,imgsize-77695/80128918.jpg"
Ramprasad Ki Tehrvi,"01 Jan, 2021",['Hindi'],1 hr 55 mins, Drama Comedy,Seema Pahwa,"['Konkona Sen Sharma', 'Vikrant Massey', 'Naseeruddin Shah']",2.5,2.8,"Despite all the good intentions and a talented cast, ‘Ramprasad Ki Tehrvi’ fails to make the desired impact and eventually turns out to be an average family entertainer. ","https://static.toiimg.com/thumb/msid-71388136,width-219,height-317,imgsize-48397/71388136.jpg"
Coolie No. 1,"25 Dec, 2020",['Hindi'],2 hrs 10 mins,Comedy,David Dhawan,"['Varun Dhawan', 'Sara Ali Khan', 'Paresh Rawal']",2.5,1.5,"The film’s music is catchy and the songs are well-shot with all the shenanigans of a grand Bollywood potboiler in place. It makes for a good watch, but the ‘Mirchi lagi’ song deserved a much better remake. Oh, and that’s true for the film as well. ","https://static.toiimg.com/thumb/msid-69019892,width-219,height-317,imgsize-89856/69019892.jpg"
Shakeela,"25 Dec, 2020","['Hindi', 'Tamil', 'Telugu', 'Malayalam', 'Kannada']",2 hrs 6 mins,Biopic,Indrajit Lankesh,"['Richa Chadha', 'Pankaj Tripathi', 'Ester Noronha']",2.5,2.5,"Overall, ‘Shakeela’ is an honest attempt that tells a much lesser known story of a fallen star, but more conviction and stronger writing, could have propelled this not-so-dirty picture to newer highs. ","https://static.toiimg.com/thumb/msid-66051414,width-219,height-317,imgsize-99539/66051414.jpg"
The Last Color,"11 Dec, 2020",['Hindi'],1 hr 32 mins,Drama,Vikas Khanna,"['Neena Gupta', 'Aqsa Siddiqui', 'Rajeshwar Khanna']",2,2,,"https://static.toiimg.com/thumb/msid-64090368,width-219,height-317,imgsize-24808/64090368.jpg"
Torbaaz,"11 Dec, 2020",['Hindi'],2 hrs 14 mins, Action Thriller,Girish Malik,"['Sanjay Dutt', 'nargis fakhri', 'Ankita Lokhande']",2,2.1,"Torbaaz is a Hindi movie released on 11 Dec, 2020. The movie is directed by Girish Malik and  featured Sanjay Dutt, nargis fakhri, ankita lokhande and Rahul Dev as lead characters. Other popular actors who were roped in for Torbaaz are Jay Patel and Rahul Mittra","https://static.toiimg.com/thumb/msid-61979777,width-219,height-317,imgsize-48746/61979777.jpg"
Indoo Ki Jawani,"11 Dec, 2020",['Hindi'],1 hr 58 mins, Comedy Drama,Abir Sengupta,"['Kiara Advani', 'Aditya Seal', 'Mallika Dua']",2,1.6,"Logic is often scarified at the altar of comedy and entertainment, but the problem with writer-director Abir Sengupta’s story is that it’s highly preposterous and profoundly silly.","https://static.toiimg.com/thumb/msid-69518359,width-219,height-317,imgsize-89577/69518359.jpg"
Durgamati,"11 Dec, 2020",['Hindi'],Thriller,,G Ashok,"['Bhumi Pednekar', 'Mahie Gill', 'Arshad Warsi']",2.5,2.5,"In a world where politics is synonymous to hooliganism to some and egalitarianism is an alien concept (again, to some), ‘Durgamati’ does have a lesson or two to impart but the narrative and its storytelling technique is so bland that it slips through the cracks.","https://static.toiimg.com/thumb/msid-72327711,width-219,height-317,imgsize-86638/72327711.jpg"
Darbaan,"04 Dec, 2020",['Hindi'],2 hrs 25 mins,Drama,"Bipin Nadkarni, Producer","['Sharib Hashmi', 'Sharad Kelkar', 'Rasika Dugal']",3.5,3.4,"Darbaan is a Hindi movie released on 4 Dec, 2020. The movie is directed by Bipin Nadkarni and  featured Sharib Hashmi, Sharad Kelkar, Rasika Dugal and Flora Saini as lead characters.Other popular actors who were roped in for Darbaan is and Harsh Chhaya","https://static.toiimg.com/thumb/msid-74171493,width-219,height-317,imgsize-21038/74171493.jpg"
Sir,"13 Nov, 2020",['Hindi'],1 hr 39 mins, Drama Romance,Rohena Gera,"['Tillotama Shome', 'Vivek Gomber', 'Geetanjali Kulkarni']",4,3.9,"Tillotama Shome and Vivek Gomber are outstanding as two people who must reveal and conceal what they feel. To strike a balance between expression and refrain, innocence and courage — Ratna and Ashwin are tricky characters to portray. ","https://static.toiimg.com/thumb/msid-79056880,width-219,height-317,imgsize-68738/79056880.jpg"
Chhalaang,"13 Nov, 2020",['Hindi'],1 hr 44 mins,Comedy,Hansal Mehta,"['Rajkummar Rao', 'Nushrat Bharucha', 'Saurabh Shukla']",3,3.4,"On the whole, director Hansal Mehta gets the setting quite right with a lot of detailing. But with more conviction in execution and writing, this one could've hit it out of the park.","https://static.toiimg.com/thumb/msid-65966271,width-219,height-317,imgsize-80908/65966271.jpg"
Suraj Pe Mangal Bhari,"15 Nov, 2020",['Hindi'],2 hrs 20 mins, Family Comedy,Abhishek Sharma,"['Manoj Bajpayee', 'Diljit Dosanjh', 'Fatima Sana Sheikh']",3.5,3.4,"Suraj Pe Mangal Bhari is a Hindi movie released on 15 Nov, 2020. The movie is directed by Abhishek Sharma and  featured Manoj Bajpayee, Diljit Dosanjh, Fatima Sana Sheikh and Annu Kapoor as lead characters. Other popular actors who were roped in for Suraj Pe Mangal Bhari are Supriya Pilgaonkar, Seema Pahwa, Manoj Pahwa, Neeraj Sood and neha pendse","https://static.toiimg.com/thumb/msid-72949883,width-219,height-317,imgsize-105453/72949883.jpg"
Ludo,"12 Nov, 2020","['Hindi', 'Tamil', 'Telugu']",2 hrs 29 mins, Comedy Action Crime,"Anurag Basu, Producer","['Abhishek Bachchan', 'Rajkummar Rao', 'Aditya Roy Kapur']",3,3.4,"Ludo is a Hindi movie released on 12 Nov, 2020. The movie is directed by Anurag Basu and  featured Abhishek Bachchan, Rajkummar Rao, Aditya Roy Kapur and Pankaj Tripathi as lead characters. Other popular actors who were roped in for Ludo are Sanya Malhotra, Fatima Sana Sheikh, Rohit Saraf, Pearle Maaney and Asha Negi","https://static.toiimg.com/thumb/msid-72990237,width-219,height-317,imgsize-75040/72990237.jpg"
Laxmii,"09 Nov, 2020",['Hindi'],2 hrs 21 mins, Comedy Horror,Raghava Lawrence,"['Akshay Kumar', 'Kiara Advani', 'Babu Antony']",2,1.5,The project is ambitious and has cherry-picked an interesting angle to inculcate into the narrative – of the ghost being a transgender with unfinished business – but the execution is over the top and melodramatic even by comedy standards. ,"https://static.toiimg.com/thumb/msid-69425171,width-219,height-317,imgsize-51050/69425171.jpg"
Khaali Peeli,"16 Oct, 2020",['Hindi'],Action Romance,,Maqbool Khan,"['Ishaan Khatter', 'Ananya Panday', 'Jaideep Ahlawat']",3,2.8,"In a nutshell, ‘Khaali Peeli’ has slow-mos and a background score that is faster than the heartbeat of an average young adult and on top of everything, a hot pair leading the show! But it derails every once in a while and you wonder – quite empathetically – why! Then again, if you are missing your regular dose of the larger-than-life heroes on celluloid, ‘Khaali Peeli’ is the turn you take – samajla na? ","https://static.toiimg.com/thumb/msid-70870829,width-219,height-317,imgsize-40011/70870829.jpg"
Dolly Kitty Aur Woh Chamakte Sitare,"18 Sep, 2020",['Hindi'],1 hr 56 mins,Drama,Alankrita Shrivastava,"['Konkona Sen Sharma', 'Bhumi Pednekar', 'Vikrant Massey']",3.5,3.3,"Dolly Kitty Aur Woh Chamakte Sitare is a Hindi movie released on 18 Sep, 2020. The movie is directed by Alankrita Shrivastava and  featured Konkona Sen Sharma, Bhumi Pednekar, Vikrant Massey and Amol Parashar as lead characters. Other popular actors who were roped in for Dolly Kitty Aur Woh Chamakte Sitare are Aamir Bashir, Neelima Azim and Kubbra Sait","https://static.toiimg.com/thumb/msid-66220491,width-219,height-317,imgsize-81814/66220491.jpg"
Sadak 2,"28 Aug, 2020",['Hindi'],2 hrs 13 mins,Drama,Mahesh Bhatt,"['Sanjay Dutt', 'Alia Bhatt', 'Aditya Roy Kapur']",2,1.1,,"https://static.toiimg.com/thumb/msid-61980857,width-219,height-317,imgsize-76635/61980857.jpg"
Khuda Haafiz,"14 Aug, 2020",['Hindi'],2 hrs 13 mins,Action,Faruk Kabir,"['Vidyut Jammwal', 'Shivaleeka Oberoi', 'Annu Kapoor']",2.5,2.9,‘Khuda Haafiz’ does not have the most innovative script on the planet but it still could have worked had it not been for the randomness in the second half and the outrageously sham Arabic accents. ,"https://static.toiimg.com/thumb/msid-71576796,width-219,height-317,imgsize-80162/71576796.jpg"
Gunjan Saxena: The Kargil Girl,"12 Aug, 2020",['Hindi'],1 hr 52 mins, Biography Drama,Sharan Sharma,"['Janhvi Kapoor', 'Pankaj Tripathi', 'Angad Bedi']",4,3.9,"More than anything else, Gunjan Saxena: The Kargil Girl is a deeply moving tale of a feminist father and his feisty daughter. It wages war against patriarchal mind-set and discrimination, and identifies it as a bigger threat to progress than the one we perhaps tackled in 1999. ","https://static.toiimg.com/thumb/msid-70889752,width-219,height-317,imgsize-67598/70889752.jpg"
Pareeksha - The Final Test,"06 Aug, 2020",['Hindi'],1 hr 42 mins,Drama,Prakash Jha,"['Adil Hussain', 'Shourya Deep', 'Sanjay Suri']",2.5,3,The screenplay has noble intent at its heart but only manages to touch upon the periphery of the subject of the Indian education system and its shortcomings – an issue that required an in-depth handling.,"https://static.toiimg.com/thumb/msid-77386453,width-219,height-317,imgsize-34609/77386453.jpg"
Lootcase,"31 Jul, 2020",['Hindi'],2 hrs 10 mins,Comedy,Rajesh_Krishnan,"['Ranvir Shorey', 'Kunal Khemu', 'Rasika Dugal']",3,3.4,"The plotline is intrigue personified; given. But, what it does lack is a stable momentum and subtexts that came off as fresh-from-the-oven ideas.","https://static.toiimg.com/thumb/msid-69875221,width-219,height-317,imgsize-53721/69875221.jpg"
Raat Akeli Hai,"31 Jul, 2020",['Hindi'],2 hrs 29 mins, Drama Crime Thriller,Honey Trehan,"['Nawazuddin Siddiqui', 'Radhika Apte', 'Shweta Tripathi']",3,3.5,Raat Akeli Hai is a sincere attempt but it isn’t engaging enough for you to feel the joy of solving a murderous puzzle or detective riddles.,"https://static.toiimg.com/thumb/msid-68197998,width-219,height-317,imgsize-16595/68197998.jpg"
Shakuntala Devi,"31 Jul, 2020",['Hindi'],2 hrs 7 mins, Drama Biography,Anu Menon,"['Vidya Balan', 'Sanya Malhotra', 'Jisshu Sengupta']",3.5,3.6,"Vidya Balan gets under the skin of her character and simply aces it in the titular role – she gives an unrestrained performance as Shakuntala Devi from the 1950s to 2000s which is captivating to watch, as every stage of her life unfolds.","https://static.toiimg.com/thumb/msid-71146516,width-219,height-317,imgsize-71277/71146516.jpg"
Dil Bechara,"24 Jul, 2020",['Hindi'],1 hr 41 mins, Drama Romance,Mukesh Chhabra,"['Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid']",3.5,3.8, ‘Dil Bechara’ will always be remembered as Sushant Singh Rajput’s swan song. Watch this movie simply to witness Sushant Singh Rajput’s last act. A brilliant one at that.,"https://static.toiimg.com/thumb/msid-64915425,width-219,height-317,imgsize-44469/64915425.jpg"
Virgin Bhanupriya,"16 Jul, 2020",['Hindi'],1 hr 51 mins,Comedy,Ajay Lohan,"['Urvashi Rautela', 'Rumana Molla', 'Gautam Gulati']",2,2,"Bhanupriya is a young girl hailing from a conservative family who claims to have experienced everything in life except sex. After multiple failed attempts at losing her virginity and a fortune-teller’s prediction that she will remain a virgin all her life, Bhanupriya decides to tie the knot, hoping that marriage will change things for the better.","https://static.toiimg.com/thumb/msid-76987071,width-219,height-317,imgsize-35865/76987071.jpg"
Gulabo Sitabo,"12 Jun, 2020",['Hindi'],Comedy Drama,,Shoojit Sircar,"['Amitabh Bachchan', 'Ayushmann Khurrana', 'Vijay Raaz']",3.5,3.4,"In Bollywood, we don’t see too many intelligently made satires but this one … navigates that genre with tact and skill, with a climax that’s surprising, dark and humourous.","https://static.toiimg.com/thumb/msid-69336793,width-219,height-317,imgsize-66241/69336793.jpg"
Angrezi Medium,"13 Mar, 2020",['Hindi'],2 hrs 10 mins,Drama,Homi Adajania,"['Irrfan Khan', 'Kareena Kapoor', 'Pankaj Tripathi']",3.5,3.5,"There are some fantastic moments in the film, and sharply written scenes between the characters, too, which in turn, prove to be  the highlights of this drama. ","https://static.toiimg.com/thumb/msid-68734480,width-219,height-317,imgsize-41345/68734480.jpg"
Baaghi 3,"06 Mar, 2020",['Hindi'],2 hrs 23 mins,Action,Ahmed Khan,"['Tiger Shroff', 'Shraddha Kapoor', 'Riteish Deshmukh']",2.5,2.7,,"https://static.toiimg.com/thumb/msid-67156843,width-219,height-317,imgsize-31268/67156843.jpg"
Har Kisse Ke Hisse: Kaamyaab,"06 Mar, 2020",['Hindi'],2 hrs 0 mins,Drama,Hardik Mehta,"['Sanjay Mishra', 'Deepak Dobriyal', 'Isha Talwar']",4,3.8,"‘Kaamyaab’ is an ode to Bollywood, the larger-than-life movies and their actors, bizarre wigs, love, drama, friendship passion but most importantly, it is about one’s ability to realise their dreams even when the chips are down. ","https://static.toiimg.com/thumb/msid-62117045,width-219,height-317,imgsize-29251/62117045.jpg"
Rizwan,"28 Feb, 2020",['Hindi'],2 hrs 10 mins,Drama,"Haresh Vyas, Producer","['Vikram Mehta', 'Keyuri Shah', 'Bhargav Thaker']",1,1.7,,"https://static.toiimg.com/thumb/msid-74330668,width-219,height-317,imgsize-34400/74330668.jpg"
Guns Of Banaras,"28 Feb, 2020",['Hindi'],2 hrs 12 mins,Action,Shekkhar Suri,"['Karan Nath', 'Nathalia Kaur', 'Ganesh Venkatraman']",2,2.6,"What ‘Guns of Banaras’ primarily lacks is a convincing motive for the protagonist to sail through. So, save yourself from this unpleasant ride. ","https://static.toiimg.com/thumb/msid-61258024,width-219,height-317,imgsize-36059/61258024.jpg"
Cookie,"28 Feb, 2020",['Hindi'],1 hr 44 mins,Horror,Lalit Marathe,"['Vibhoutee Sharma', 'Reena Wadhwa', 'Ankur Vikal']",1,1.8,There was an attempt to do something 'hatke' with 'Cookie' but the diegesis is an amalgamation of all other movies in this genre; predictable till the credits roll. ,"https://static.toiimg.com/thumb/msid-73929234,width-219,height-317,imgsize-44077/73929234.jpg"
O Pushpa I Hate Tears,"28 Feb, 2020","['Hindi', 'Kannada']",2 hrs 7 mins,Drama,Dinkar Kapur,"['Krishna Abhishek', 'Jayaram Karthik', 'Anusmriti Sarkar']",1.5,2.1,"'O Pushpa I Hate Tears' will remind one of yesteryear actor Rajesh Khanna’s famous dialogue which the movie's title is inspired from. But, sans that, there isn't much for the viewers... This Pushpa is passable!","https://static.toiimg.com/thumb/msid-72017898,width-219,height-317,imgsize-79835/72017898.jpg"
Doordarshan,"28 Feb, 2020",['Hindi'],2 hrs 10 mins, Comedy Drama,Gaganpuri,"['Mahie Gill', 'Dolly Ahluwalia', 'Manu Rishi Chadha']",2.5,2.9,"Director Gagan Puri’s ‘Doordarshan’ had an interesting plot at hand and there was so much he could do with it, but he just about scratches the surface.","https://static.toiimg.com/thumb/msid-74283231,width-219,height-317,imgsize-100146/74283231.jpg"
Thappad,"28 Feb, 2020",['Hindi'],2 hrs 5 mins,Drama,"Anubhav Sinha, Producer","['Taapsee Pannu', 'Dia Mirza', 'Pavail Gulati']",4.5,4.1,"'Thappad' is a silent slap on our society's age-old belief that — 'shaadi mein sab kuch chalta hain'. But honestly, should it be that way? And that is what we need to start talking about... now! ","https://static.toiimg.com/thumb/msid-68883970,width-219,height-317,imgsize-27471/68883970.jpg"
Shubh Mangal Zyada Saavdhan,"21 Feb, 2020",['Hindi'],2 hrs 10 mins,Comedy,Hitesh Kewalya,"['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao']",3.5,3.4,"'Shubh Mangal Zyada Saavdhan' will give small-town parents the much needed nudge, and maybe, in the distant future, they will have the strength to accept their offsprings for who they are.","https://static.toiimg.com/thumb/msid-69246658,width-219,height-317,imgsize-118383/69246658.jpg"
Bhoot: Part One - The Haunted Ship,"21 Feb, 2020",['Hindi'],2 hrs 10 mins,Horror,Bhanu Pratap Singh,"['Vicky Kaushal', 'Bhumi Pednekar', 'Ashutosh Rana']",2.5,3,"While the film’s runtime is short, the pace seems exhausting because most of the scenes are concluded abruptly, leaving you waiting for the big reveal. ","https://static.toiimg.com/thumb/msid-69725016,width-219,height-317,imgsize-24503/69725016.jpg"
The Hundred Bucks,"21 Feb, 2020",['Hindi'],1 hr 42 mins, Drama Thriller,Dushyant Pratap Singh,"['Kavita Tripathi', 'Dinesh Bawra', 'Rajnish Ram PuriProducer']",1.5,2.3,,"https://static.toiimg.com/thumb/msid-74227425,width-219,height-317,imgsize-33425/74227425.jpg"
Love Aaj Kal,"14 Feb, 2020",['Hindi'],2 hrs 22 mins,Romance,"Imtiaz Ali, Producer","['Kartik Aaryan', 'Sara Ali Khan', 'Arushi Sharma']",3,3.1,"'Love Aaj Kal' sets off to celebrate complex characters and relationships, with the universal emotion of love at its core. It creates some emotional moments, but doesn’t quite leave you spellbound.","https://static.toiimg.com/thumb/msid-67214208,width-219,height-317,imgsize-24278/67214208.jpg"
Hacked,"07 Feb, 2020",['Hindi'],1 hr 58 mins, Thriller Drama,Vikram Bhatt,"['Hina Khan', 'Krishna Bhatt, Producer', 'Mohit Malhotra']",2,2.5,"‘Hacked’ feels like an exposé of some sorts at the beginning but gradually, one realises that it is just a half-baked attempt. ","https://static.toiimg.com/thumb/msid-72141527,width-219,height-317,imgsize-70421/72141527.jpg"
Shikara,"07 Feb, 2020",['Hindi'],2 hrs 0 mins, Drama History Romance,"Vidhu Vinod Chopra, Producer",,3,3.2,"The narrative is a tad bit more visually exciting and cinematically engaging in the first half, while the second half is more invested in the love story – which does feel far-fetched, predictable and dated at times.","https://static.toiimg.com/thumb/msid-70905393,width-219,height-317,imgsize-67998/70905393.jpg"
Yahan Sabhi Gyani Hain,"07 Feb, 2020",['Hindi'],1 hr 55 mins, Comedy Drama,Anant Tripathi,"['Neeraj Sood', 'Apoorva Arora', 'Atul Srivastav']",1.5,2.2,"This comedy flick touches upon various alarming social issues, but fails to render an in-depth analysis on any of them.","https://static.toiimg.com/thumb/msid-72935342,width-219,height-317,imgsize-25334/72935342.jpg"
Kaanchli Life In A Slough,"07 Feb, 2020",['Hindi'],1 hr 43 mins,Drama,"Dedipya Joshii, Producer","['Sanjay Mishra', 'Lalit Parimoo', 'Shikha Malhotra']",1.5,2.3,"The predictability of the plot, a strong sense of directionlessness reeking of the plotline and its overall presentation makes this film a humdrum of an A-rated movie.","https://static.toiimg.com/thumb/msid-73979610,width-219,height-317,imgsize-64029/73979610.jpg"
Taanashah,"07 Feb, 2020",['Hindi'],1 hr 40 mins, Action Drama,Ritam Srivastava,"['Dilip Arya', 'Laura Mishra', 'Indraneel Bhattacharya']",2.5,2.8,Ritam Srivastav has done justice to the movie to a considerable extent but the script lacked originality in ways more than one. ,"https://static.toiimg.com/thumb/msid-73173760,width-219,height-317,imgsize-24722/73173760.jpg"
Malang,"07 Feb, 2020",['Hindi'],2 hrs 14 mins, Action Drama Romance,Mohit Suri,"['Aditya Roy Kapur', 'Disha Patani', 'Anil Kapoor']",3.5,3.4,"In this film, none of the characters are uni-dimensional, which makes them interesting. 'Malang' begins well with a power-packed action scene, and dives straight into the drama.","https://static.toiimg.com/thumb/msid-61980323,width-219,height-317,imgsize-96175/61980323.jpg"
Happy Hardy And Heer,"31 Jan, 2020",['Hindi'],2 hrs 3 mins, Romance Comedy,Raka,"['Himesh Reshammiya', 'Sonia Mann', 'Manmeet Singh']",3,3.2,,"https://static.toiimg.com/thumb/msid-70241287,width-219,height-317,imgsize-75184/70241287.jpg"
Jawaani Jaaneman,"31 Jan, 2020",['Hindi'],1 hr 59 mins, Drama Comedy,Nitin Kakkar,"['Saif Ali Khan, Producer', 'Aalia Furniturewalla', 'Tabu']",3.5,3.4,"'Jawaani Jaaneman' comes out a winner with its non-judgmental approach and a contemporary story that showcases complex human relationships with all its quirks, firmly in place. ","https://static.toiimg.com/thumb/msid-66689603,width-219,height-317,imgsize-114241/66689603.jpg"
